20230512,00:04:10,UNIFYBroker,Logging Engine,Information,Log file started.,Minimal
20230512,00:04:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230512,00:04:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230512,00:04:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230512,00:04:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230512,00:04:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230512,00:04:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230512,00:04:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.1104731. ",Normal
20230512,00:04:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1729764",Normal
20230512,00:05:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Staff Connector started.",Normal
20230512,00:05:16,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Staff Connector.",Normal
20230512,00:05:16,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Staff Connector reported 0 changes. Duration: 00:00:00",Normal
20230512,00:05:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Staff Connector returned 0 possible changes. Duration: 00:00:00.2347819",Normal
20230512,00:06:22,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Student Connector started.",Normal
20230512,00:06:22,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Student Connector.",Normal
20230512,00:06:22,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Student Connector reported 1 changes. Duration: 00:00:00",Normal
20230512,00:06:22,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector CEnet Student Connector (page 1)",Normal
20230512,00:06:22,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector CEnet Student Connector processed 1 entities, finding 1 differences. Duration: 00:00:00.2500181. ",Normal
20230512,00:06:22,UNIFYBroker,Connector Processor,Information,"Connector Post Processing started.
Connector Post Processing started - checking for deleted entities in connector CEnet Student Connector. Processed Entities: 1",Normal
20230512,00:06:22,UNIFYBroker,Connector Processor,Information,"Connector Post Processing success.
Connector Post Processing completed checking for deletes for connector CEnet Student Connector. Processed Entities: 1. Matching Entities: 0. Reported Changes: 0. Duration: 00:00:00.0156254",Normal
20230512,00:06:22,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Student Connector returned 1 possible changes. Duration: 00:00:00.7198938",Normal
20230512,00:06:26,UNIFYBroker,Change detection engine,Information,"Started processing changes register items.
Started processing changes register items for connector CEnet Student Connector.",Normal
20230512,00:06:26,UNIFYBroker,Change detection engine,Information,"Changes register item processing completed.
Changes register item processing on connector CEnet Student Connector completed.  Duration: 00:00:00.3287637",Normal
20230512,00:06:30,UNIFYBroker,Adapter,Information,"Request to reflect change entities of the adapter.
Request to reflect change entities of the CEnet Student Adapter (2484ffb0-4500-4778-81ae-a78f3aa65aec) adapter completed with 0 adds, 0 updates and 0 deletes across 1 pages. Duration: 00:00:00.4387075",Normal
20230512,00:06:56,UNIFYBroker,LDAP Gateway,Information,A client has connected to the LDAP endpoint from address: 10.19.205.75:54647.,Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP bind request.
Handling of LDAP bind request received on connection 10.19.205.75:54647 to connect as user MIM completed successfully. The bind was successful. Duration: 00:00:00.0937585.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP Root DSE request.
Handling of LDAP Root DSE request from user MIM on connection 10.19.205.75:54647 for the Root DSE completed successfully. Duration: 00:00:00.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP search request.
Handling of LDAP search request from user MIM on connection 10.19.205.75:54647 targeting DC=IdentityBroker with a scope of SingleLevel completed successfully. Duration: 00:00:00.0312558.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP schema request.
Handling of LDAP schema request from user MIM on connection 10.19.205.75:54647 for the schema CN=contacts,cn=schema completed successfully. Duration: 00:00:00.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP schema request.
Handling of LDAP schema request from user MIM on connection 10.19.205.75:54647 for the schema CN=CEnetStudent,cn=schema completed successfully. Duration: 00:00:00.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP schema request.
Handling of LDAP schema request from user MIM on connection 10.19.205.75:54647 for the schema CN=CEnetStaff,cn=schema completed successfully. Duration: 00:00:00.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP Root DSE request.
Handling of LDAP Root DSE request from user MIM on connection 10.19.205.75:54647 for the Root DSE completed successfully. Duration: 00:00:00.",Normal
20230512,00:06:57,UNIFYBroker,LDAP engine,Information,"Handling of LDAP change log request.
Handling of LDAP change log request from user MIM on connection 10.19.205.75:54647 completed successfully. Added: 0. Modified: 0. Renamed: 0. Deleted: 1. Total: 1. Duration: 00:00:00.0625064.",Normal
20230512,00:06:58,UNIFYBroker,LDAP engine,Information,"Handling of LDAP change log request.
Handling of LDAP change log request from user MIM on connection 10.19.205.75:54647 completed successfully. Added: 0. Modified: 1. Renamed: 0. Deleted: 0. Total: 1. Duration: 00:00:00.0781288.",Normal
20230512,00:06:58,UNIFYBroker,LDAP engine,Information,"Handling of LDAP search request.
Handling of LDAP search request from user MIM on connection 10.19.205.75:54647 targeting CN=C6ABDB03-969F-47E6-BFDE-C5769C219B80,OU=CEnetStudent,DC=IdentityBroker with a scope of BaseObject completed successfully. Results: 1. Duration: 00:00:00.",Normal
20230512,00:06:58,UNIFYBroker,LDAP engine,Information,"Handling of LDAP unbind request.
Handling of LDAP unbind request received on connection 10.19.205.75:54647 to connect as user MIM completed successfully. Duration: 00:00:00.",Normal
20230512,00:06:59,UNIFYBroker,LDAP Gateway,Information,A client has connected to the LDAP endpoint from address: 10.19.205.75:54651.,Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP bind request.
Handling of LDAP bind request received on connection 10.19.205.75:54651 to connect as user MIM completed successfully. The bind was successful. Duration: 00:00:00.0948717.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP Root DSE request.
Handling of LDAP Root DSE request from user MIM on connection 10.19.205.75:54651 for the Root DSE completed successfully. Duration: 00:00:00.0156281.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP search request.
Handling of LDAP search request from user MIM on connection 10.19.205.75:54651 targeting DC=IdentityBroker with a scope of SingleLevel completed successfully. Duration: 00:00:00.0312532.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP schema request.
Handling of LDAP schema request from user MIM on connection 10.19.205.75:54651 for the schema CN=contacts,cn=schema completed successfully. Duration: 00:00:00.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP schema request.
Handling of LDAP schema request from user MIM on connection 10.19.205.75:54651 for the schema CN=CEnetStudent,cn=schema completed successfully. Duration: 00:00:00.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP schema request.
Handling of LDAP schema request from user MIM on connection 10.19.205.75:54651 for the schema CN=CEnetStaff,cn=schema completed successfully. Duration: 00:00:00.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP Root DSE request.
Handling of LDAP Root DSE request from user MIM on connection 10.19.205.75:54651 for the Root DSE completed successfully. Duration: 00:00:00.",Normal
20230512,00:07:00,UNIFYBroker,LDAP engine,Information,"Handling of LDAP change log request.
Handling of LDAP change log request from user MIM on connection 10.19.205.75:54651 completed successfully. Added: 0. Modified: 0. Renamed: 0. Deleted: 1. Total: 1. Duration: 00:00:00.0468787.",Normal
20230512,00:07:01,UNIFYBroker,LDAP engine,Information,"Handling of LDAP change log request.
Handling of LDAP change log request from user MIM on connection 10.19.205.75:54651 completed successfully. Added: 0. Modified: 2. Renamed: 0. Deleted: 0. Total: 2. Duration: 00:00:00.1751634.",Normal
