DEPTID,PHRIS NAME RESOLUTION,AD DEPT VALUE,UPN SUFFIX
29897,LMUNMORAH St Brigids,LAKE MUNMORAH St Brigids College,@dbb.catholic.edu.au
01714,EGOSFORD St Josephs,EAST GOSFORD St Josephs College,@dbb.catholic.edu.au
01450,WARRIEWOOD Mater Maria,WARRIEWOOD Mater Maria College,@dbb.catholic.edu.au
01813,WAHROONGA St Leos,WAHROONGA St Leos College,@dbb.catholic.edu.au
01332,CHATSWOOD Mercy,CHATSWOOD Mercy College,@dbb.catholic.edu.au
01351,MANLY St Pauls,MANLY St Pauls College,@dbb.catholic.edu.au
16973,TUGGERAH St Peters,TUGGERAH St Peters College,@dbb.catholic.edu.au
10011,Educational Services,Educational Services,@dbb.catholic.edu.au
100011,CSO BB Ed Services Admin,Ed Services Admin,@dbb.catholic.edu.au
100012,CSO BB Ed Services Curriculum,Ed Services Curriculum,@dbb.catholic.edu.au
100013,CSO BB Ed Services Student Welfare,Ed Services Student Welfare,@dbb.catholic.edu.au
100014,CSO BB Ed Services Learning Tech,Ed Services Learning Tech,@dbb.catholic.edu.au
100016,CSO BB Ed Services Behaviour Management,Ed Services Behaviour Management,@dbb.catholic.edu.au
100017,CSO BB Ed Services Pastoral Care,Ed Services Pastoral Care,@dbb.catholic.edu.au
100018,CSO BB Ed Services Parent Liaison,Ed Services Parent Liaison,@dbb.catholic.edu.au
100019,CSO BB Ed Services Preferred Learning,Ed Services Preferred Learning,@dbb.catholic.edu.au
10003,Mission,Mission,@dbb.catholic.edu.au
10012,Mission Services,Mission Services,@dbb.catholic.edu.au
100020,CSO BB Mission Services Admin,Mission Services Admin,@dbb.catholic.edu.au
100021,CSO BB Mission Services Faith Formation,Mission Services Faith Formation,@dbb.catholic.edu.au
100022,CSO BB Mission Services Outreach,Mission Services Outreach,@dbb.catholic.edu.au
BBI,N/A,BBI,@bbi.catholic.edu.au
ICLT,N/A,ICLT,@dbb.org.au
Finance,N/A,Finance,@dbb.org.au
PSU,N/A,PSU,@dbb.org.au
Human Resources,N/A,HR,@dbb.org.au
